fk_id_policy_info,fk_id_crp,fk_id_pol_inv_typ,fk_id_smo_org_types,fk_id_stage_processes,fk_id_stg_maturity,fk_id_geo_scopes,fk_id_phases,fk_id_location,fk_id_srf,fk_id_cci,fk_id_ext_partner,fk_id_policy_owner,fk_id_sdg,"fk_id_oics"
112,2,1,0,1,0,3,20,262,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,258,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,274,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,61,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,60,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,72,0,13,0,0,78,"0"
113,2,1,0,2,0,4,20,262,0,13,0,0,78,"0"
115,2,3,0,1,0,4,20,85,0,13,0,0,78,"0"
116,2,1,0,1,0,2,20,299,0,13,0,0,78,"0"
117,2,3,0,1,0,3,20,118,0,13,0,0,78,"0"
117,2,3,0,1,0,3,20,155,0,13,0,0,78,"0"
117,2,3,0,1,0,3,20,136,0,13,0,0,78,"0"
117,2,3,0,1,0,3,20,262,0,13,0,0,78,"0"
117,2,3,0,1,0,3,20,67,0,13,0,0,78,"0"
117,2,3,0,1,0,3,20,72,0,13,0,0,78,"0"
117,2,3,0,1,0,3,20,85,0,13,0,0,78,"0"
118,2,1,0,1,0,1,20,87,0,13,0,0,78,"0"
107,1,1,0,2,0,4,3,209,0,6,0,0,80,"0"
102,1,3,0,1,0,4,3,188,0,2,0,0,81,"0"
116,2,1,0,1,0,2,20,299,0,2,0,0,81,"0"
117,2,3,0,1,0,3,20,118,0,2,0,0,81,"0"
117,2,3,0,1,0,3,20,155,0,2,0,0,81,"0"
117,2,3,0,1,0,3,20,136,0,2,0,0,81,"0"
117,2,3,0,1,0,3,20,262,0,2,0,0,81,"0"
117,2,3,0,1,0,3,20,67,0,2,0,0,81,"0"
117,2,3,0,1,0,3,20,72,0,2,0,0,81,"0"
117,2,3,0,1,0,3,20,85,0,2,0,0,81,"0"
118,2,1,0,1,0,1,20,87,0,2,0,0,81,"0"
119,2,3,0,1,0,3,20,139,0,2,0,0,81,"0"
119,2,3,0,1,0,3,20,189,0,2,0,0,81,"0"
119,2,3,0,1,0,3,20,249,0,2,0,0,81,"0"
119,2,3,0,1,0,3,20,274,0,2,0,0,81,"0"
119,2,3,0,1,0,3,20,37,0,2,0,0,81,"0"
119,2,3,0,1,0,3,20,93,0,2,0,0,81,"0"
120,2,1,0,1,0,4,20,183,0,2,0,0,81,"0"
121,2,1,0,1,0,1,20,87,0,2,0,0,81,"0"
119,2,3,0,1,0,3,20,139,0,1,0,0,82,"0"
119,2,3,0,1,0,3,20,189,0,1,0,0,82,"0"
119,2,3,0,1,0,3,20,249,0,1,0,0,82,"0"
119,2,3,0,1,0,3,20,274,0,1,0,0,82,"0"
119,2,3,0,1,0,3,20,37,0,1,0,0,82,"0"
