pk_id_publication_info,version,date_from,date_to,id,"title","citation","Journal",year,"authors",is_ISI_journal,is_open_access,"pk","volume","issue","pages","DOI","Handle","deliverable_group"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000030,"Profitability of diammonium phosphate use in bush and climbing bean-maize rotations in smallholder farms of Central Burundi.","Niyuhire MC, Pypers P, Vanlauwe B, Nziguheba G, Roobroeck D,  Merckx R. 2017. Profitability of diammonium phosphate use in bush and climbing bean-maize rotations in smallholder farms of Central Burundi.   Field Crops Research 212: 52-60.","   Field Crops Research 212: 52-60.",2017,"Niyuhire MC, Pypers P, Vanlauwe B, Nziguheba G, Roobroeck D,  Merckx R.",0,0,"201700000030_11",,,,"https://doi.org/10.1016/j.fcr.2017.06.024",,"201700000030"
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000031,"Policy support for sustainable crop intensification in Eastern Africa.","Yami M, Van Asten P. 2017. Policy support for sustainable crop intensification in Eastern Africa. Journal of Rural Studies 55: 216-226."," Journal of Rural Studies 55: 216-226.",2017,"Yami M, Van Asten P.",0,0,"201700000031_11",,,,"https://doi.org/10.1016/j.jrurstud.2017.08.012",,"201700000031"
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000032,"Resistance genes in global crop breeding networks.","Garrett KA, Anderse KF, Asche F, Bowden RL, Forbes GA, Kulakow PA, Zhou B. 2017. Resistance genes in global crop breeding networks. Phytopathology 107(10): 1268-1278."," Phytopathology 107(10): 1268-1278.",2017,"Garrett KA, Anderse KF, Asche F, Bowden RL, Forbes GA, Kulakow PA, Zhou B.",1,1,"201700000032_11",,,,"https://doi.org/10.1094/phyto-03-17-0082-fi",,"201700000032"
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000033,"Reduce pests, enhance production: benefits of intercropping at high densities for okra farmers in Cameroon.","Singh A, Weisser WW, Hanna R, Houmgny R,  Zytynska SE. 2017. Reduce pests, enhance production: benefits of intercropping at high densities for okra farmers in Cameroon. Pest Management Science 73(10): 2017-2027."," Pest Management Science 73(10): 2017-2027.",2017,"Singh A, Weisser WW, Hanna R, Houmgny R,  Zytynska SE.",0,0,"201700000033_11",,,,"https://doi.org/10.1002/ps.4636",,"201700000033"
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000034,"Climate-based suitability assessment for alternate wetting and drying water management in the Philippines: a novel approach for mapping methane mitigation potential in rice production.","Sander BO, Wassmann R, Palao LK, Nelson A. 2017. Climate-based suitability assessment for alternate wetting and drying water management in the Philippines: a novel approach for mapping methane mitigation potential in rice production. Carbon Management 8: 1-12."," Carbon Management 8: 1-12.",2017,"Sander BO, Wassmann R, Palao LK, Nelson A.",1,1,"201700000034_11",,,,"https://doi.org/10.1080/17583004.2017.1362945",,"201700000034"
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000035,"Residual effect of BNI by Brachiaria humidicola pasture on nitrogen recovery and grain yield of subsequent maize.","Karwat H, Moreta D, Arango J, Núñez J, Rao I, Rincón Á, Rasche F, Cadisch G. 2017. Residual effect of BNI by Brachiaria humidicola pasture on nitrogen recovery and grain yield of subsequent maize. Plant and Soil 420(1-2): 389-406."," Plant and Soil 420(1-2): 389-406.",2017,"Karwat H, Moreta D, Arango J, Núñez J, Rao I, Rincón Á, Rasche F, Cadisch G.",1,1,"201700000035_11",,,,"https://doi.org/10.1007/s11104-017-3381-z",,"201700000035"
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000036,"Applying the robust adaptation planning (RAP) framework to Ghana’s agricultural climate change adaptation regime.","Chaudhury AS, Thornton TF, Helfgott A, Sova C. 2017. Applying the robust adaptation planning (RAP) framework to Ghana’s agricultural climate change adaptation regime. Sustainability Science 12(5): 657-676."," Sustainability Science 12(5): 657-676.",2017,"Chaudhury AS, Thornton TF, Helfgott A, Sova C.",1,1,"201700000036_11",,,,"https://doi.org/10.1007/s11625-017-0462-0",,"201700000036"
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000037,"A systematic review of local vulnerability to climate change in developing country agriculture.","Crane T, Aogán D, Tamás PA, Sabrina C, Ericksen P. 2017. A systematic review of local vulnerability to climate change in developing country agriculture. WIREs Clim Change 8(4): e464","WIREs Climate Change",2017,"Crane T, Aogán D, Tamás PA, Sabrina C, Ericksen P.",0,1,"201700000037_11",,,,"https://doi.org/10.1002/wcc.464",,"201700000037"
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000038,"Application of in-vitro micropropagation technique for sustainable production of four local taro cultivars [Colocasia esculenta (L.) Schott] in Cameroon","Manju BE, Mbong AG, Fakunang NC, Tembe-Fakunang AE, Hanna R. 2017. Application of in-vitro micropropagation technique for sustainable production of four local taro cultivars [Colocasia esculenta (L.) Schott] in Cameroon. African Journal of Biotechnology 16(30): 1638-1645.","African Journal of Biotechnology",2017,"Manju BE, Mbong AG, Fakunang NC, Tembe-Fakunang AE, Hanna R.",1,1,"201700000038_11",,,,"https://doi.org/10.5897/ajb2017.15921",,"201700000038"
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000039,"Survey data of intra-household decision making and smallholder agricultural production in northern Uganda and southern Tanzania .","Mwungu CM, Mwongera C, Shikuku KM, Nyakundi Fridah, Twyman J, Winowiecki L, Ampaire E, Acosta M, Läderach P. 2017. Survey data of intra-household decision making and smallholder agricultural production in northern Uganda and southern Tanzania . Data in Brief . Elsevier BV 14: 302-306."," Data in Brief .",2017,"Mwungu CM, Mwongera C, Shikuku KM, Nyakundi Fridah, Twyman J, Winowiecki L, Ampaire E, Acosta M, Läderach P.",1,1,"201700000039_11",,,,"https://doi.org/10.1016/j.dib.2017.07.040",,"201700000039"
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000040,"Can smallholder farmers adapt to climate variability, and how effective are policy interventions? Agent-based simulation results for Ethiopia.","Berger T, Troost C, Wossen T, Latynskiya E, Tesfaye K, Gbegbelegbe S. 2017. Can smallholder farmers adapt to climate variability, and how effective are policy interventions? Agent-based simulation results for Ethiopia. Agricultural Economics 48(6): 693-706."," Agricultural Economics 48(6): 693-706.",2017,"Berger T, Troost C, Wossen T, Latynskiya E, Tesfaye K, Gbegbelegbe S.",0,0,"201700000040_11",,,,"https://doi.org/10.1111/agec.12367",,"201700000040"
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000041,"Ties that bind: Local networks, communities and adaptive capacity in rural Ghana.","Chaudhury AS, Thornton TF, Helfgott A, Ventresca MJ, Sova C. 2017. Ties that bind: Local networks, communities and adaptive capacity in rural Ghana. Journal of Rural Studies 53: 214-228."," Journal of Rural Studies 53: 214-228.",2017,"Chaudhury AS, Thornton TF, Helfgott A, Ventresca MJ, Sova C.",0,0,"201700000041_11",,,,"https://doi.org/10.1016/j.jrurstud.2017.05.010",,"201700000041"
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000042,"Intensity and distribution of Meloidogyne Spp. in cowpea growing areas of Mozambique","Kisitu J, Janssen T, Chiulele RM, Mondjana AM, Coyne DL. 2017. Intensity and distribution of Meloidogyne Spp. in cowpea growing areas of Mozambique. International Journal of Agriculture and Environmental Research, 3(4): 3520-3533.","International Journal of Agriculture and Environmental Research",2017,"Kisitu J, Janssen T, Chiulele RM, Mondjana AM, Coyne DL.",1,1,"201700000042_11",,,,"https://cgspace.cgiar.org/handle/10568/83330",,"201700000042"
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000043,"Climate change determined drought stress profiles in rainfed common bean production systems in Brazil .","Heinemann AB, Ramirez-Villegas J, Stonea LF, Didonet A. 2017. Climate change determined drought stress profiles in rainfed common bean production systems in Brazil . Agricultural and Forest Meteorology 246: 64-77."," Agricultural and Forest Meteorology 246: 64-77.",2017,"Heinemann AB, Ramirez-Villegas J, Stonea LF, Didonet A.",0,0,"201700000043_11",,,,"https://doi.org/10.1016/j.agrformet.2017.06.005",,"201700000043"
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000044,"Welfare impacts of Index Insurance in the presence of a poverty trap.","Chantarat S, Mude AG, Barrett CB, Turvey CG. 2017. Welfare impacts of Index Insurance in the presence of a poverty trap. World Development 94: 119–138."," World Development 94: 119–138.",2017,"Chantarat S, Mude AG, Barrett CB, Turvey CG.",0,0,"201700000044_11",,,,"https://doi.org/10.1016/j.worlddev.2016.12.044",,"201700000044"
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700000045,"A new, long-term daily satellite-based rainfall dataset for operational monitoring in Africa.","Maidment RI, Grimes D, Black E, Tarnavsky E, Young M, Greatrex H, Allan RP, Stein T, Nkonde E, Senkunda S, Alcántara EMU. 2017. A new, long-term daily satellite-based rainfall dataset for operational monitoring in Africa. Scientific Data 4:170082."," Scientific Data 4:170082.",2017,"Maidment RI, Grimes D, Black E, Tarnavsky E, Young M, Greatrex H, Allan RP, Stein T, Nkonde E, Senkunda S, Alcántara EMU.",1,1,"201700000045_11",,,,"https://doi.org/doi:10.1038/sdata.2017.63",,"201700000045"
