attention_score,news_total,blog_total,policy_total,twitter_total,facebook_total,mendeley_total,fk_id_crp,fk_id_phases,fk_id_altmetrics_info
8,0,1,0,2,0,191,1,3,3751
1,0,0,0,1,0,0,1,3,3752
0,0,0,0,0,0,0,1,3,3753
0,0,0,0,0,0,0,1,3,3754
1,0,0,0,2,0,9,1,3,3755
6,0,0,0,7,0,29,1,3,3756
2,0,0,0,2,0,5,1,3,3757
99,7,2,0,45,5,273,1,3,3758
1,0,0,0,1,0,5,1,3,3759
1,0,0,0,1,0,34,1,3,3760
1,0,0,0,2,0,43,1,3,3761
8,0,0,1,9,0,73,1,3,3762
34,1,1,0,35,2,77,1,3,3763
1,0,0,0,1,0,33,1,3,3764
22,0,1,0,19,0,39,1,3,3765
7,0,0,0,12,1,94,1,3,3766
7,0,1,0,0,0,18,1,3,3767
12,0,0,0,19,0,36,1,3,3768
3,0,0,0,5,0,82,1,3,3769
10,0,0,0,14,0,142,1,3,3770
2,0,0,0,2,0,34,1,3,3771
0,0,0,0,0,0,0,1,3,3772
1,0,0,0,1,0,46,1,3,3773
1,0,0,0,1,0,6,1,3,3774
19,0,1,0,16,0,65,1,3,3775
5,0,0,0,9,0,137,1,3,3776
30,1,2,2,6,0,111,1,3,3777
0,0,0,0,0,0,0,1,3,3778
16,0,1,0,10,0,26,1,3,3779
8,0,1,0,1,0,59,1,3,3780
0,0,0,0,0,0,0,1,3,3781
11,0,0,0,15,0,73,1,3,3782
30,3,1,0,3,0,107,1,3,3783
9,0,1,0,3,0,22,1,3,3784
3,0,0,0,6,0,145,1,3,3785
26,1,2,1,6,0,194,1,3,3786
189,17,7,1,31,3,287,1,3,3787
37,0,3,0,27,0,65,1,3,3788
1,0,0,0,1,0,72,1,3,3789
0,0,0,0,0,0,0,1,3,3790
9,0,1,0,3,0,31,1,3,3791
9,0,1,0,3,0,39,1,3,3792
10,0,1,0,7,0,36,1,3,3793
2,0,0,0,4,0,18,1,3,3794
1043,104,13,1,192,15,284,1,3,3795
7,0,0,0,5,0,169,1,3,3796
