fk_id_srf_target,fk_id_phases,fk_id_crp,fk_id_location,fk_id_sdg,fk_id_srf_cases_links,fk_id_srf_cases_info
1,57,4,189,96,12,25
1,57,4,189,1,13,25
1,57,4,189,24,13,25
1,57,4,189,61,13,25
1,57,4,189,84,13,25
1,57,4,189,96,13,25
1,213,17,67,1,2,26
1,213,17,67,24,2,26
1,213,17,67,61,2,26
1,213,17,67,84,2,26
1,213,17,67,96,2,26
1,213,17,67,1,3,26
1,213,17,67,24,3,26
1,213,17,67,61,3,26
1,213,17,67,84,3,26
1,213,17,67,96,3,26
1,213,17,67,1,4,26
1,213,17,67,24,4,26
1,213,17,67,61,4,26
1,213,17,67,84,4,26
1,213,17,67,96,4,26
1,213,17,67,1,5,26
1,213,17,67,24,5,26
1,213,17,67,61,5,26
1,213,17,67,84,5,26
1,213,17,67,96,5,26
1,213,17,67,1,6,26
1,213,17,67,24,6,26
1,213,17,67,61,6,26
1,213,17,67,84,6,26
1,213,17,67,96,6,26
1,213,17,67,1,7,26
1,213,17,67,24,7,26
1,213,17,67,61,7,26
1,213,17,67,84,7,26
1,213,17,67,96,7,26
1,213,17,67,1,8,26
1,213,17,67,24,8,26
1,213,17,67,61,8,26
1,213,17,67,84,8,26
1,213,17,67,96,8,26
1,213,17,225,1,2,26
1,213,17,225,24,2,26
1,213,17,225,61,2,26
1,213,17,225,84,2,26
1,213,17,225,96,2,26
1,213,17,225,1,3,26
1,213,17,225,24,3,26
1,213,17,225,61,3,26
1,213,17,225,84,3,26
1,213,17,225,96,3,26
1,213,17,225,1,4,26
1,213,17,225,24,4,26
1,213,17,225,61,4,26
1,213,17,225,84,4,26
1,213,17,225,96,4,26
1,213,17,225,1,5,26
1,213,17,225,24,5,26
1,213,17,225,61,5,26
1,213,17,225,84,5,26
1,213,17,225,96,5,26
1,213,17,225,1,6,26
1,213,17,225,24,6,26
1,213,17,225,61,6,26
1,213,17,225,84,6,26
1,213,17,225,96,6,26
1,213,17,225,1,7,26
1,213,17,225,24,7,26
1,213,17,225,61,7,26
1,213,17,225,84,7,26
1,213,17,225,96,7,26
1,213,17,225,1,8,26
1,213,17,225,24,8,26
1,213,17,225,61,8,26
1,213,17,225,84,8,26
1,213,17,225,96,8,26
1,213,17,105,1,2,26
1,213,17,105,24,2,26
1,213,17,105,61,2,26
1,213,17,105,84,2,26
1,213,17,105,96,2,26
1,213,17,105,1,3,26
1,213,17,105,24,3,26
1,213,17,105,61,3,26
1,213,17,105,84,3,26
1,213,17,105,96,3,26
1,213,17,105,1,4,26
1,213,17,105,24,4,26
1,213,17,105,61,4,26
1,213,17,105,84,4,26
1,213,17,105,96,4,26
1,213,17,105,1,5,26
1,213,17,105,24,5,26
1,213,17,105,61,5,26
1,213,17,105,84,5,26
1,213,17,105,96,5,26
1,213,17,105,1,6,26
1,213,17,105,24,6,26
1,213,17,105,61,6,26
1,213,17,105,84,6,26
1,213,17,105,96,6,26
1,213,17,105,1,7,26
1,213,17,105,24,7,26
1,213,17,105,61,7,26
1,213,17,105,84,7,26
1,213,17,105,96,7,26
1,213,17,105,1,8,26
1,213,17,105,24,8,26
1,213,17,105,61,8,26
1,213,17,105,84,8,26
1,213,17,105,96,8,26
1,213,17,248,1,2,26
1,213,17,248,24,2,26
1,213,17,248,61,2,26
1,213,17,248,84,2,26
1,213,17,248,96,2,26
