fk_id_innovation_info,fk_id_ext_partner,"role"
1615,1205,"Contibutor"
1615,479,"Contibutor"
1615,613,"Leader"
1376,2451,"Contibutor"
1376,191,"Contibutor"
1376,106,"Leader"
1377,109,"Contibutor"
1377,1847,"Leader"
1378,697,"Contibutor"
1378,1718,"Contibutor"
1378,1925,"Contibutor"
1378,146,"Contibutor"
1378,113,"Leader"
1379,1644,"Contibutor"
1379,966,"Contibutor"
1379,2240,"Contibutor"
1379,1661,"Contibutor"
1379,1631,"Contibutor"
1379,721,"Contibutor"
1379,1686,"Contibutor"
1379,1847,"Contibutor"
1379,110,"Leader"
1616,1850,"Contibutor"
1616,2462,"Contibutor"
1616,1871,"Contibutor"
1616,2460,"Contibutor"
1616,110,"Leader"
1380,110,"Contibutor"
1380,4431,"Contibutor"
1380,655,"Contibutor"
1380,1620,"Contibutor"
1380,1630,"Leader"
1381,486,"Contibutor"
1381,108,"Leader"
1382,486,"Contibutor"
1382,4175,"Contibutor"
1382,108,"Leader"
1383,552,"Contibutor"
1383,112,"Contibutor"
1383,107,"Contibutor"
1383,140,"Contibutor"
1383,115,"Contibutor"
1383,1382,"Leader"
1384,974,"Contibutor"
1384,119,"Leader"
1385,2237,"Contibutor"
1385,119,"Leader"
1386,2237,"Contibutor"
1386,119,"Leader"
1387,2237,"Contibutor"
1387,119,"Leader"
1388,1137,"Contibutor"
1388,119,"Leader"
1389,119,"Contibutor"
1389,1037,"Leader"
1390,475,"Contibutor"
1390,119,"Leader"
1391,112,"Contibutor"
1391,106,"Leader"
1392,93,"Contibutor"
1392,106,"Leader"
1393,79,"Contibutor"
1393,93,"Contibutor"
1393,2725,"Contibutor"
1393,116,"Leader"
1394,110,"Contibutor"
1394,1092,"Contibutor"
1394,1651,"Leader"
1395,118,"Contibutor"
1395,830,"Contibutor"
1395,4183,"Contibutor"
1395,1841,"Contibutor"
1395,80,"Contibutor"
1395,113,"Leader"
1396,660,"Contibutor"
1396,107,"Contibutor"
1396,2134,"Leader"
1397,116,"Leader"
1398,116,"Contibutor"
1398,646,"Contibutor"
1398,594,"Leader"
1399,118,"Contibutor"
1399,621,"Contibutor"
1399,1519,"Contibutor"
1399,279,"Contibutor"
1399,116,"Leader"
1400,112,"Contibutor"
1400,113,"Contibutor"
1400,107,"Leader"
1401,1758,"Contibutor"
1401,106,"Leader"
1402,109,"Contibutor"
1402,2580,"Contibutor"
1402,109,"Leader"
1403,1024,"Contibutor"
1403,109,"Leader"
1404,486,"Contibutor"
1404,4096,"Contibutor"
1404,4175,"Contibutor"
1404,108,"Leader"
1406,4096,"Contibutor"
1406,486,"Contibutor"
1406,4175,"Contibutor"
1406,108,"Leader"
1407,112,"Contibutor"
1407,112,"Leader"
1617,112,"Contibutor"
1617,112,"Leader"
1408,112,"Contibutor"
1408,112,"Leader"
1409,107,"Contibutor"
1409,107,"Leader"
1410,112,"Contibutor"
1410,112,"Leader"
1411,116,"Contibutor"
1411,594,"Contibutor"
1411,2456,"Leader"
1412,115,"Contibutor"
1412,115,"Leader"
1413,112,"Contibutor"
1413,2701,"Contibutor"
1413,112,"Leader"
1414,119,"Contibutor"
1415,115,"Contibutor"
1415,115,"Leader"
1416,646,"Contibutor"
1416,115,"Contibutor"
1416,11,"Contibutor"
1416,1228,"Contibutor"
1416,646,"Leader"
1417,112,"Leader"
981,79,"Contibutor"
