fk_id_partnership_2018_info,fk_id_partnerships_main_areas,fk_id_flagship,fk_id_ext_partner,fk_id_phases,fk_id_crp
42,4,7,1419,23,2
42,4,7,1506,23,2
42,4,7,1972,23,2
42,4,7,1909,23,2
42,4,7,113,23,2
42,1,7,650,23,2
42,1,7,1419,23,2
42,1,7,1506,23,2
42,1,7,1972,23,2
42,1,7,1909,23,2
42,1,7,113,23,2
43,3,3,1206,6,1
43,1,3,1206,6,1
44,4,1,702,6,1
44,2,1,702,6,1
45,4,1,1213,6,1
45,2,1,1213,6,1
46,2,1,1661,6,1
46,4,1,1661,6,1
47,4,1,1684,6,1
47,2,1,1684,6,1
48,4,1,1209,6,1
48,3,1,1209,6,1
49,4,9,830,23,2
49,4,9,113,23,2
49,4,9,115,23,2
49,4,9,114,23,2
49,4,9,118,23,2
49,4,9,107,23,2
49,4,9,2408,23,2
49,2,9,830,23,2
49,2,9,113,23,2
49,2,9,115,23,2
49,2,9,114,23,2
49,2,9,118,23,2
49,2,9,107,23,2
49,2,9,2408,23,2
50,4,9,674,23,2
50,4,9,399,23,2
50,4,9,119,23,2
50,4,9,349,23,2
50,4,9,110,23,2
50,4,9,598,23,2
50,4,9,317,23,2
50,4,9,2484,23,2
50,4,9,2382,23,2
50,4,9,2343,23,2
50,4,9,983,23,2
50,2,9,674,23,2
50,2,9,399,23,2
50,2,9,119,23,2
50,2,9,349,23,2
50,2,9,110,23,2
50,2,9,598,23,2
50,2,9,317,23,2
50,2,9,2484,23,2
50,2,9,2382,23,2
50,2,9,2343,23,2
50,2,9,983,23,2
51,4,9,598,23,2
51,4,9,2408,23,2
51,4,9,114,23,2
51,4,9,903,23,2
51,2,9,598,23,2
51,2,9,2408,23,2
51,2,9,114,23,2
51,2,9,903,23,2
52,1,9,115,23,2
52,1,9,93,23,2
52,1,9,340,23,2
52,2,9,115,23,2
52,2,9,93,23,2
52,2,9,340,23,2
52,4,9,115,23,2
52,4,9,93,23,2
52,4,9,340,23,2
53,4,9,1796,23,2
53,4,9,646,23,2
53,4,9,679,23,2
53,4,9,1614,23,2
53,4,9,674,23,2
53,4,9,1952,23,2
53,4,9,115,23,2
54,6,21,2278,74,5
55,3,21,1620,74,5
56,1,21,2214,74,5
56,4,21,2214,74,5
56,2,21,2214,74,5
57,3,25,110,74,5
57,3,25,646,74,5
57,3,25,739,74,5
57,3,25,119,74,5
57,3,25,106,74,5
58,1,25,110,74,5
58,1,25,623,74,5
58,2,25,110,74,5
58,2,25,623,74,5
59,3,25,110,74,5
59,3,25,1758,74,5
59,3,25,2003,74,5
59,3,25,691,74,5
59,1,25,110,74,5
59,1,25,1758,74,5
59,1,25,2003,74,5
59,1,25,691,74,5
60,4,25,110,74,5
60,4,25,581,74,5
60,1,25,110,74,5
60,1,25,581,74,5
61,2,17,579,57,4
62,2,49,2069,180,19
62,6,49,2069,180,19
63,1,19,697,57,4
63,1,19,1925,57,4
63,1,19,659,57,4
63,1,19,1362,57,4
63,1,19,1611,57,4
63,1,19,924,57,4
63,1,19,1636,57,4
63,1,19,146,57,4
63,1,19,2481,57,4
63,1,19,2512,57,4
63,1,19,2208,57,4
63,1,19,1985,57,4
63,1,19,1718,57,4
63,1,19,2441,57,4
63,1,19,2409,57,4
63,3,19,697,57,4
63,3,19,1925,57,4
63,3,19,659,57,4
63,3,19,1362,57,4
63,3,19,1611,57,4
63,3,19,924,57,4
63,3,19,1636,57,4
63,3,19,146,57,4
63,3,19,2481,57,4
63,3,19,2512,57,4
63,3,19,2208,57,4
63,3,19,1985,57,4
63,3,19,1718,57,4
63,3,19,2441,57,4
63,3,19,2409,57,4
63,4,19,697,57,4
63,4,19,1925,57,4
63,4,19,659,57,4
63,4,19,1362,57,4
63,4,19,1611,57,4
63,4,19,924,57,4
63,4,19,1636,57,4
63,4,19,146,57,4
63,4,19,2481,57,4
63,4,19,2512,57,4
63,4,19,2208,57,4
63,4,19,1985,57,4
63,4,19,1718,57,4
63,4,19,2441,57,4
63,4,19,2409,57,4
64,1,19,1319,57,4
64,1,19,557,57,4
64,1,19,1889,57,4
64,1,19,1372,57,4
64,1,19,1340,57,4
64,4,19,1319,57,4
64,4,19,557,57,4
64,4,19,1889,57,4
64,4,19,1372,57,4
