attention_score;news_total;blog_total;policy_total;twitter_total;facebook_total;mendeley_total;fk_id_crp;fk_id_phases;fk_id_altmetrics_info
1;0;0;0;2;0;0;3;37;703
1;0;0;0;2;0;0;3;37;705
1;0;0;0;2;0;0;3;37;706
1;0;0;0;1;0;0;3;37;707
1;0;0;0;2;0;0;3;37;708
1;0;0;0;2;0;0;3;37;709
1;0;0;0;1;0;0;3;37;717
1;0;0;0;1;0;0;3;37;718
1;0;0;0;1;0;0;3;37;723
1;0;0;0;2;0;31;3;37;724
1;0;0;0;2;0;0;3;37;727
1;0;0;0;1;0;0;3;37;728
1;0;0;0;2;0;0;3;37;729
1;0;0;0;2;0;0;3;37;749
1;0;0;0;2;0;0;3;37;764
1;0;0;0;2;0;3;3;37;765
1;0;0;0;1;0;0;3;37;771
1;0;0;0;2;0;0;3;37;779
0;0;0;0;0;0;0;3;37;790
0;0;0;0;0;0;0;3;37;804
0;0;0;0;0;0;0;3;37;838
0;0;0;0;0;0;0;3;37;843
0;0;0;0;0;0;0;3;37;846
0;0;0;0;0;0;0;3;37;854
0;0;0;0;0;0;0;3;37;855
0;0;0;0;0;0;0;3;37;863
0;0;0;0;0;0;0;3;37;915
0;0;0;0;0;0;0;3;37;916
0;0;0;0;0;0;0;3;37;917
0;0;0;0;0;0;0;3;37;919
0;0;0;0;0;0;0;3;37;956
0;0;0;0;0;0;8;3;37;980
0;0;0;0;0;0;0;3;37;984
0;0;0;0;0;0;0;3;37;996
0;0;0;0;0;0;0;3;37;1004
0;0;0;0;0;0;1;3;37;1011
0;0;0;0;0;0;0;3;37;1017
0;0;0;0;0;0;0;3;37;1018
0;0;0;0;0;0;0;3;37;1041
0;0;0;0;0;0;0;3;37;1045
0;0;0;0;0;0;0;3;37;1056
0;0;0;0;0;0;13;3;37;1063
0;0;0;0;0;0;0;3;37;1071
0;0;0;0;0;0;0;3;37;1072
0;0;0;0;0;0;0;3;37;1115
0;0;0;0;0;0;0;3;37;1116
0;0;0;0;0;0;0;3;37;1139
0;0;0;0;0;0;0;3;37;1143
0;0;0;0;0;0;0;3;37;1145
0;0;0;0;0;0;0;3;37;1149
0;0;0;0;0;0;0;3;37;1177
5;0;0;0;9;0;0;3;37;1185
1;0;0;0;3;0;0;3;37;1193
0;0;0;0;0;0;0;3;37;1195
2;0;0;0;4;0;56;3;37;1210
437;31;2;0;355;6;49;4;54;5
227;1;0;2;379;4;56;4;54;10
89;0;3;0;158;3;32;4;54;22
87;6;5;0;29;0;53;4;54;23
76;9;2;0;1;0;14;4;54;25
70;1;3;1;73;0;178;4;54;27
69;7;2;0;16;0;17;4;54;28
64;6;2;0;10;0;35;4;54;29
48;0;1;0;84;1;52;4;54;39
47;0;2;0;64;1;74;4;54;41
45;1;5;0;22;0;20;4;54;44
41;0;0;0;46;5;11;4;54;48
40;1;1;0;59;0;24;4;54;50
38;1;0;0;51;1;43;4;54;54
37;0;1;0;42;2;5;4;54;59
36;1;3;0;27;0;52;4;54;62
35;1;4;0;11;0;56;4;54;66
34;0;0;1;69;0;24;4;54;67
33;1;4;0;8;1;40;4;54;69
32;0;3;0;38;0;57;4;54;71
28;1;0;0;31;0;18;4;54;81
26;0;0;0;49;0;11;4;54;86
25;2;2;1;7;1;39;4;54;93
23;0;0;2;30;0;111;4;54;103
22;0;0;0;35;1;52;4;54;114
22;2;1;0;4;0;14;4;54;115
21;0;0;0;26;1;10;4;54;116
